state,confirmed,deaths
Alabama,29002,822
Alaska,720,12
Arizona,46910,1321
Arkansas,14631,214
California,170862,5426
Colorado,30172,1643
Connecticut,45557,4238
Delaware,10611,433
Diamond Princess,49,0
District of Columbia,9952,530
Florida,89748,3104
Georgia,62009,2636
Grand Princess,103,3
Guam,200,5
Hawaii,789,17
Idaho,3871,89
Illinois,135470,6580
Indiana,41746,2516
Iowa,25274,681
Kansas,12021,253
Kentucky,13454,522
Louisiana,48515,3084
Maine,2913,102
Maryland,63548,3030
Massachusetts,106650,7799
Michigan,67097,6067
Minnesota,32031,1393
Mississippi,20641,938
Missouri,17667,958
Montana,666,20
Nebraska,17588,244
Nevada,12524,479
New Hampshire,5486,337
New Jersey,168496,12902
New Mexico,10260,464
New York,386556,31015
North Carolina,50018,1203
North Dakota,3226,76
Northern Mariana Islands,30,2
Ohio,43731,2667
Oklahoma,9707,367
Oregon,6572,188
Pennsylvania,85199,6399
Puerto Rico,6195,147
Recovered,0,0
Rhode Island,16337,894
South Carolina,22608,639
South Dakota,6158,81
Tennessee,34017,515
Texas,105394,2158
Utah,16425,155
Vermont,1144,56
Virgin Islands,73,6
Virginia,56793,1602
Washington,27601,1255
West Virginia,2468,88
Wisconsin,24154,730
Wyoming,1173,20
